direction,field,count
outgoing,Computer Science,231
outgoing,Linguistics,41
outgoing,Medicine,17
outgoing,Mathematics,15
outgoing,Biology,5
outgoing,Psychology,4
outgoing,Physics,3
outgoing,Chemistry,2
outgoing,Engineering,1
outgoing,Education,1
incoming,Computer Science,96
incoming,Linguistics,21
incoming,Engineering,6
incoming,Education,5
incoming,Environmental Science,2
incoming,Physics,2
incoming,Psychology,2
incoming,Medicine,1
incoming,Mathematics,1
incoming,Chemistry,1
incoming,Materials Science,1
